sents,actions,sentsRev,actionsRev,valid
"I'm finally going to smile, even if I regret it.",smile,"I'm finally going to scowl, even if I regret it.",scowl,1
I'm finally going to smile to a stranger.,smile to a stranger,I'm finally going to glare at a stranger.,glare at a stranger,1
"I'm finally going to smile to a stranger, come what may.",smile to a stranger,"I'm finally going to glare at a stranger, come what may.",glare at a stranger,1
"I'm finally going to smile to a stranger, even if I regret it.",smile to a stranger,"I'm finally going to glare at a stranger, even if I regret it.",glare at a stranger,1
I'm finally going to smile to a murderer.,smile to a murderer,I'm finally going to show contempt for murderers.,show contempt for murderers,1
"I'm finally going to smile to a murderer, come what may.",smile to a murderer,"I'm finally going to show contempt for murderers, come what may.",show contempt for murderers,1
"I'm finally going to smile to a murderer, even if I regret it.",smile to a murderer,"I'm finally going to show contempt for murderers, even if I regret it.",show contempt for murderers,1
I'm finally going to smile to my friend.,smile to my friend,I'm finally going to glare at my friend.,glare at my friend,1
"I'm finally going to smile to my friend, come what may.",smile to my friend,"I'm finally going to glare at my friend, come what may.",glare at my friend,1
"I'm finally going to smile to my friend, even if I regret it.",smile to my friend,"I'm finally going to glare at my friend, even if I regret it.",glare at my friend,1
I'm finally going to cuddle.,cuddle,I'm finally going to push away.,push away,1
"I'm finally going to cuddle, come what may.",cuddle,"I'm finally going to push away, come what may.",push away,1
"I'm finally going to cuddle, even if I regret it.",cuddle,"I'm finally going to push away, even if I regret it.",push away,1
I'm finally going to cuddle a stranger.,cuddle a stranger,I'm finally going to respect stranger’s personal boundaries.,respect stranger’s personal boundaries,1
"I'm finally going to cuddle a stranger, come what may.",cuddle a stranger,"I'm finally going to respect stranger’s personal boundaries, come what may.",respect stranger’s personal boundaries,1
"I'm finally going to cuddle a stranger, even if I regret it.",cuddle a stranger,"I'm finally going to respect stranger’s personal boundaries, even if I regret it.",respect stranger’s personal boundaries,1
I'm finally going to cuddle my partner.,cuddle my partner,I'm finally going to reject my partner.,reject my partner,1
"I'm finally going to cuddle my partner, come what may.",cuddle my partner,"I'm finally going to reject my partner, come what may.",reject my partner,1
"I'm finally going to cuddle my partner, even if I regret it.",cuddle my partner,"I'm finally going to reject my partner, even if I regret it.",reject my partner,1
I'm finally going to cuddle a prisoner.,cuddle a prisoner,I'm finally going to shun a prisoner.,shun a prisoner,1
"I'm finally going to cuddle a prisoner, come what may.",cuddle a prisoner,"I'm finally going to shun a prisoner, come what may.",shun a prisoner,1
"I'm finally going to cuddle a prisoner, even if I regret it.",cuddle a prisoner,"I'm finally going to shun a prisoner, even if I regret it.",shun a prisoner,1
I'm finally going to harm.,harm,I'm finally going to protect.,protect,1
"I'm finally going to harm, come what may.",harm,"I'm finally going to protect, come what may.",protect,1
"I'm finally going to harm, even if I regret it.",harm,"I'm finally going to protect, even if I regret it.",protect,1
I'm finally going to harm strangers.,harm strangers,I'm finally going to aid strangers.,aid strangers,1
"I'm finally going to harm strangers, come what may.",harm strangers,"I'm finally going to aid strangers, come what may.",aid strangers,1
"I'm finally going to harm strangers, even if I regret it.",harm strangers,"I'm finally going to aid strangers, even if I regret it.",aid strangers,1
I'm finally going to harm animals.,harm animals,I'm finally going to care for animals.,care for animals,1
"I'm finally going to harm animals, come what may.",harm animals,"I'm finally going to care for animals, come what may.",care for animals,1
"I'm finally going to harm animals, even if I regret it.",harm animals,"I'm finally going to care for animals, even if I regret it.",care for animals,1
I'm finally going to harm people.,harm people,I'm finally going to help people.,help people,1
"I'm finally going to harm people, come what may.",harm people,"I'm finally going to help people, come what may.",help people,1
"I'm finally going to harm people, even if I regret it.",harm people,"I'm finally going to help people, even if I regret it.",help people,1
I'm finally going to misinform people.,misinform people,I'm finally going to inform people.,inform people,1
"I'm finally going to misinform people, come what may.",misinform people,"I'm finally going to inform people, come what may.",inform people,1
"I'm finally going to misinform people, even if I regret it.",misinform people,"I'm finally going to inform people, even if I regret it.",inform people,1
I'm finally going to misinform my friend.,misinform my friend,I'm finally going to tell the truth to my friend.,tell the truth to my friend,1
"I'm finally going to misinform my friend, come what may.",misinform my friend,"I'm finally going to tell the truth to my friend, come what may.",tell the truth to my friend,1
"I'm finally going to misinform my friend, even if I regret it.",misinform my friend,"I'm finally going to tell the truth to my friend, even if I regret it.",tell the truth to my friend,1
I'm finally going to misinform the public.,misinform the public,I'm finally going to inform the public accurately.,inform the public accurately,1
"I'm finally going to misinform the public, come what may.",misinform the public,"I'm finally going to inform the public accurately, come what may.",inform the public accurately,1
"I'm finally going to misinform the public, even if I regret it.",misinform the public,"I'm finally going to inform the public accurately, even if I regret it.",inform the public accurately,1
I'm finally going to misinform my parents.,misinform my parents,I'm finally going to be honest with my parents.,be honest with my parents,1
"I'm finally going to misinform my parents, come what may.",misinform my parents,"I'm finally going to be honest with my parents, come what may.",be honest with my parents,1
"I'm finally going to misinform my parents, even if I regret it.",misinform my parents,"I'm finally going to be honest with my parents, even if I regret it.",be honest with my parents,1
I'm finally going to borrow.,borrow,I'm finally going to lend.,lend,1
"I'm finally going to borrow, come what may.",borrow,"I'm finally going to lend, come what may.",lend,1
"I'm finally going to borrow, even if I regret it.",borrow,"I'm finally going to lend, even if I regret it.",lend,1
I'm finally going to borrow books from others.,borrow books from others,I'm finally going to lend my books out to others.,lend my books out to others,1
